ISSUER_NAME,TOTAL__REVENUE,ECONOMIC_SECTOR,TOTAL_GHG: MEAN_INTENSITY,CARBON_INTENSITY
Koninklijke Philips N.V.,20089.0,Other sectors,715950.0,35.64
Pernod-Ricard S.A.,9823.63,Food,325910.73,33.18
Atlantia S.p.A.,6969.84,Infrastructure and transportation,222456.0,31.92
ATLANTIA S.P.A.,6969.84,Infrastructure and transportation,222456.0,31.92
Henkel AG  KGaA,22630.0655,Food,697000.0,30.8
Carrefour SA,90285.25,Beverages,2775432.0,30.74
GECINA,645.83,Other sectors,19319.0,29.91
Orange S.A.,46165.15,Telecommunication,1380063.0,29.89
PostNL NV,3078.88,Infrastructure and transportation,87430.0,28.4
Legrand S.A.,6237.76,Other sectors,176259.0,28.26
Deutsche Wohnen AG,1698.19,Real estate,44014.06,25.92
Nokia OYJ,26152.98,Other sectors,674064.0,25.77
Safran SA,18660.85,Other sectors,434649.0,23.29
Sanofi S.A.,40924.84,Chemicals,927494.0,22.66
RENAULT SA,66402.16,Other sectors,1374662.0,20.7
Proximus S.A.,6485.84,Telecommunication,125529.0,19.35
AEROPORTS DE PARIS,4086.72,Infrastructure and transportation,77712.0,19.02
Abertis Infraestructuras SA,6578.28,Construction & Materials,117441.0,17.85
Daimler AG,185471.854,Food,3197000.0,17.24
Schneider Electric SE,27956.25,Other sectors,467121.0,16.71
Kering S.A.,12220.51,Other sectors,187123.0,15.31
Alstom S.A.,8016.58,Other sectors,113450.0,14.15
Airbus SE,66686.8902,Food,937321.0,14.06
Red Electrica Corporacion SA,2268.68,Utilities,31500.0,13.88
CAP GEMINI,14151.56,Telecommunication,193627.0,13.68
MTU Aero Engines AG,4403.54,Other sectors,58092.0,13.19
THALES,17205.02,Other sectors,216242.0,12.57
SAP SE,26507.76,Other sectors,313284.0,11.82
SES S.A.,2299.28,Telecommunication,27119.12,11.79
Telecom Italia Finance S.A.,5086.65,Other sectors,55629.75,10.94
Vonovia SE,4065.25416,Real estate,44014.06,10.83
"Atos SE, Bezons",13553.86,Telecommunication,130424.0,9.62
"Worldline S.A., Bezons",1754.0,Telecommunication,16815.0,9.59
"Stellantis N.V, Amsterdam",119460.623,Other sectors,1039063.0,8.7
METRO AG,33039.74,Beverages,257815.0,7.8
"Amadeus IT Group SA, Madrid",5239.41,Telecommunication,36856.0,7.03
SODEXO SA,22753.4811,Other sectors,149910.0,6.59
Wolters Kluwer N.V.,4935.25,Food,31526.0,6.39
Koninklijke KPN NV,6485.42,Telecommunication,27322.0,4.21
Telecom Italia S.p.A.,22402.96,Infrastructure and transportation,55629.75,2.48
Mapfre SA,24839.11,Insurance,52383.73,2.11
SATO Oyj,316.48,Real estate,646.9,2.04
ASML Holding N.V.,10126.64,Other sectors,20400.0,2.01
BEFIMMO SA,171.15,Other sectors,307.17,1.79
Befimmo SA,171.15,Other sectors,307.17,1.79
Cofinimmo S.A./N.V.,297.38,Real estate,313.0,1.05
AXA S.A.,149811.06,Insurance,145535.6,0.97
Aegon NV,60876.95,Insurance,55841.0,0.92
Assicurazioni Generali S.p.A.,90545.12,Insurance,77767.0,0.86
Edenred S.A.,1415.72,Other sectors,1111.02,0.78
"Inmobiliaria Colonial, Socimi SA",323.14,Real estate,210.92,0.65
CA Immobilien Anlagen AG,420.96,Real estate,243.0,0.58
Altareit SCA,2128.21,Real estate,1115.0,0.52
ALTAREA,2201.32,Construction & Materials,1115.0,0.51
adidas AG,23973.47,Other sectors,12017.0,0.5
TLG IMMOBILIEN AG,853.612985,Real estate,243.0,0.28
LEG Immobilien AG,988.74,Real estate,243.0,0.25
NN Group NV,20444.91,Insurance,2462.0,0.12
alstria office REIT-AG,292.84,Other sectors,28.6,0.1
Robert Bosch GmbH,88204.04,Other sectors,2713.0,0.03
Hannover RE,19822.57,Insurance,258.0,0.01
