YEAR,ECONOMIC_SECTOR,RISK_COUNTRY,MEAN_WEIGHTED_INTENSITY,MED_WEIGHTED_INTENSITY,TOTAL_HOLDINGS,TOTAL_HOLDINGS(USD),SECTOR_CSPP_HOLDINGS,SECTOR_ELIGIBLE_CSPP_UNIVERSE,COUNTRY_CSPP_HOLDINGS,COUNTRY_ELIGIBLE_CSPP_UNIVERSE,WEIGHTS,SUM_WEIGHTS,MEAN_WACI,MEDIAN_WACI
2017,Other sectors,Italy,1414.353765994308,150.84,114630.2857142857,120362,0.08,0.08,0.11,0.12,0.0088,0.6587,18.895268165705044,2.015169272810081
2017,Other sectors,Netherlands,26498.233608638027,2774.259943576906,114630.2857142857,120362,0.08,0.08,0.06,0.05,0.0048,0.6587,193.09476441697666,20.21625585117527
2017,Other sectors,Other (euro area),116546.39512174817,150.84000000000003,114630.2857142857,120362,0.08,0.08,0.06,0.06,0.0048,0.6587,849.2829764451058,1.0991832397145895
2017,Other sectors,Other (non-euro area),38.90393520024736,38.90393520024736,114630.2857142857,120362,0.08,0.08,0.03,0.04,0.0024,0.6587,0.14174805598997064,0.14174805598997064
2017,Other sectors,Spain,5047.8773556239,3118.1049069373944,114630.2857142857,120362,0.08,0.08,0.11,0.1,0.0088,0.6587,67.43786356382319,41.65678333239574
2017,Real estate,Belgium,1.0525253883919565,1.0525253883919565,114630.2857142857,120362,0.06,0.06,0.05,0.05,0.003,0.6587,0.0047936483454924395,0.0047936483454924395
2017,Real estate,France,2957.5562604980305,86.6,114630.2857142857,120362,0.06,0.06,0.29,0.31,0.0174,0.6587,78.12582197155872,2.2875967815393956
2017,Real estate,Germany,12.033032358307878,0.28467233309483925,114630.2857142857,120362,0.06,0.06,0.25,0.25,0.015,0.6587,0.27401774005559154,0.006482594498895687
2017,Real estate,Italy,86.6,86.6,114630.2857142857,120362,0.06,0.06,0.11,0.12,0.0066,0.6587,0.8677091240321846,0.8677091240321846
2017,Real estate,Netherlands,86.60000000000001,86.60000000000001,114630.2857142857,120362,0.06,0.06,0.06,0.05,0.0036,0.6587,0.4732958858357372,0.4732958858357372
2017,Real estate,Other (euro area),110.51824071715643,86.6,114630.2857142857,120362,0.06,0.06,0.06,0.06,0.0036,0.6587,0.6040164970119374,0.47329588583573706
2017,Telecommunication,France,28.83804685565075,29.894043450524908,114630.2857142857,120362,0.09,0.08,0.29,0.31,0.026099999999999998,0.6587,1.1426643736640119,1.184506655622742
2017,Telecommunication,Germany,28.920000000000005,28.920000000000005,114630.2857142857,120362,0.09,0.08,0.25,0.25,0.0225,0.6587,0.9878548656444514,0.9878548656444514
2017,Telecommunication,Italy,28.919999999999998,28.919999999999998,114630.2857142857,120362,0.09,0.08,0.11,0.12,0.009899999999999999,0.6587,0.4346561408835585,0.4346561408835585
2017,Telecommunication,Netherlands,4.212834326843905,4.212834326843905,114630.2857142857,120362,0.09,0.08,0.06,0.05,0.005399999999999999,0.6587,0.034536671269101385,0.034536671269101385
2017,Telecommunication,Other (euro area),29.04015991189129,40.571521945808904,114630.2857142857,120362,0.09,0.08,0.06,0.06,0.005399999999999999,0.6587,0.23807023458966595,0.33260394490263867
2017,Utilities,Belgium,2909.1700000000005,2909.17,114630.2857142857,120362,0.16,0.17,0.05,0.05,0.008,0.6587,35.332260513131935,35.33226051313193
2017,Utilities,France,3314.980413651729,1842.2227538494094,114630.2857142857,120362,0.16,0.17,0.29,0.31,0.04639999999999999,0.6587,233.51311855691546,129.7694485784311
2017,Utilities,Germany,1359.7689672660492,230.71292794029858,114630.2857142857,120362,0.16,0.17,0.25,0.25,0.04,0.6587,82.5728839997601,14.010197536984885
2017,Utilities,Italy,537.9076548472542,512.5882702353291,114630.2857142857,120362,0.16,0.17,0.11,0.12,0.0176,0.6587,14.37251362579577,13.695997504390153
2017,Utilities,Netherlands,11495.173230115322,2909.17,114630.2857142857,120362,0.16,0.17,0.06,0.05,0.0096,0.6587,167.53250798407026,42.39871261575831
2017,Utilities,Other (euro area),2460.5331133161194,2909.17,114630.2857142857,120362,0.16,0.17,0.06,0.06,0.0096,0.6587,35.860206297001284,42.39871261575831
2018,Automotive and parts,Germany,10601.77,10601.77,160838.5,168880,0.09,0.1,0.25,0.25,0.0225,0.6909,345.2595527572731,345.2595527572731
2018,Beverages,Belgium,61.3590091702165,61.3590091702165,160838.5,168880,0.055,0.04,0.05,0.05,0.0027500000000000003,0.6909,0.2442282171343109,0.2442282171343109
2018,Beverages,France,30.740702384941063,30.740702384941063,160838.5,168880,0.055,0.04,0.3,0.31,0.0165,0.6909,0.7341461707215626,0.7341461707215626
2018,Beverages,Germany,308.53099562203295,7.803178838574396,160838.5,168880,0.055,0.04,0.25,0.25,0.01375,0.6909,6.1402535675249,0.15529556959096533
2018,Beverages,Italy,143.18467596547268,143.18467596547268,160838.5,168880,0.055,0.04,0.12,0.115,0.0066,0.6909,1.367808454728788,1.367808454728788
2018,Beverages,Netherlands,61.359009170216495,61.3590091702165,160838.5,168880,0.055,0.04,0.06,0.055,0.0033,0.6909,0.293073860561173,0.29307386056117307
2018,Beverages,Spain,42.7,42.7,160838.5,168880,0.055,0.04,0.1,0.09,0.0055000000000000005,0.6909,0.3399189463019251,0.3399189463019251
2018,Chemicals,Belgium,1063.9729131279794,1063.9729131279794,160838.5,168880,0.045,0.04,0.05,0.05,0.00225,0.6909,3.464957381007314,3.464957381007314
2018,Chemicals,France,22.663350669177937,22.663350669177937,160838.5,168880,0.045,0.04,0.3,0.31,0.0135,0.6909,0.442835770782895,0.442835770782895
2018,Chemicals,Germany,8721.030686015702,10601.77,160838.5,168880,0.045,0.04,0.25,0.25,0.01125,0.6909,142.0054931504945,172.62977637863656
2018,Construction & Materials,France,264.86777234273154,132.83752489312982,160838.5,168880,0.06,0.05,0.3,0.31,0.018,0.6909,6.900593287261786,3.460812632908289
