YEAR,ECONOMIC_SECTOR,RISK_COUNTRY,MEAN_WACI,MEDIAN_WACI
2018,Infrastructure and transportation,Other (euro area),3.4045071645679554,3.4045071645679554
2018,Infrastructure and transportation,Spain,1.339375827255643,1.3393758272556429
2018,Insurance,France,0.012654724084986323,0.012654724084986323
2018,Insurance,Germany,1.207786449702391,1.637429439861051
2018,Insurance,Italy,0.15100479275611295,0.004475253130607228
2018,Insurance,Netherlands,16.870419228266325,27.867387023652014
2018,Insurance,Other (euro area),0.3929830655666521,0.3929830655666521
2018,Insurance,Spain,0.00915727908987004,0.00915727908987004
2018,Other sectors,Belgium,0.20147243058953607,0.27811550151975684
2018,Other sectors,France,236.57621058129706,5.894745983499783
2018,Other sectors,Germany,56.72043726034548,4.912288319583152
2018,Other sectors,Italy,14.870807412188197,2.357898393399913
2018,Other sectors,Netherlands,170.46416163766438,21.683316971074383
